experiment	point	source_snapshot	mm_mprotect_state	patch_sha256	mm_mprotect_sha256	canonical_config_sha256	kernel_release	compiler	preemption
exact-cac1	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	none	d29bc98a920734c4c0c3701a1dbb4981000ddf29c2d69244e8f0901d904f4647	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-p-45199f715b74	gcc-15.2.0	dynamic-build/preempt=none
exact-cac1	child	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	none	592d1a59b0cd783f55a60cb8abde937568bd62287f12f70d328b84e000ff1b62	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-c-cac1db8c3aad	gcc-15.2.0	dynamic-build/preempt=none
mechanism	parent	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	45199f715b7455a2e4054dbc5dab0c3b65e2abc1	none	d29bc98a920734c4c0c3701a1dbb4981000ddf29c2d69244e8f0901d904f4647	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-p-45199f715b74	gcc-15.2.0	dynamic-build/preempt=none
mechanism	child	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	none	592d1a59b0cd783f55a60cb8abde937568bd62287f12f70d328b84e000ff1b62	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-c-cac1db8c3aad	gcc-15.2.0	dynamic-build/preempt=none
mechanism	fastpath	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	cac1db8c3aad+single-pte-parent-style	9da6f78a9ac74791687c5bb5848eee3cf8a949f1ebf97e1c67278ce7ef7cef4f	d923a528685d561823373d63711c2e7b6a275b38096c21232b64f3f77c5175d4	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-v-ptefastpath0	gcc-15.2.0	dynamic-build/preempt=none
mechanism	folioonly	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	cac1db8c3aad+keep-folio-skip-batch	2784371d1726b436368d453102366c3107c1716f5c2bb986af75640b1b80b85b	c63b1ce5b7505c299c897147245b5180b3e3443fc6c3e579ab28e3b8ca9ccbfd	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-v-folioonly000	gcc-15.2.0	dynamic-build/preempt=none
mechanism	nofolio	cac1db8c3aad97d6ffb56ced8868d6cbbbd2bfbe	cac1db8c3aad+skip-folio-and-batch	56059bbdc654f1e389be572c505bfceaf6a68d06f7f1e43302e4d407979377f6	e428d6c9dd365efb0740638c8dc23e7099f30aab9b4da822fbd42e2da3d08439	66064617009cb0b8d49edd1cd2fd1c7876965a3c1d0ec7304f0d54e0ce40c171	6.16.0-rc5-mprotect-cac-v-nofolio00000	gcc-15.2.0	dynamic-build/preempt=none
pedro-v3	no-v3	199c9959d3a9b53f346c221757fc7ac507fbac50	mm/mprotect.c@19999e479c2a38672789e66b4830f43c645ca1f2	none	b189d27285e3506b090a6e3f242b9a9ec96ca913613ad084e745cdf51730f54f	b1484511b7b7a3e3b1b8187018c2886ef939aa80e230be0aa3d7b74a202c3376	7.1.3-mprotect-pv3-base-19999e479c2a	gcc-15.2.0	dynamic-build/preempt=none
pedro-v3	full-v3	199c9959d3a9b53f346c221757fc7ac507fbac50	mm/mprotect.c@89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a	none	79083647ff1f763c7e131d3ceba4bd9b313f9106e8d9a6b8a519acbf2a984906	b1484511b7b7a3e3b1b8187018c2886ef939aa80e230be0aa3d7b74a202c3376	7.1.3-mprotect-pv3-full-89e613bc0b2d	gcc-15.2.0	dynamic-build/preempt=none
lookup-gate	baseline	199c9959d3a9b53f346c221757fc7ac507fbac50	mm/mprotect.c@89e613bc0b2d6d4a18a09b161131ce4ca5c70f2a	none	79083647ff1f763c7e131d3ceba4bd9b313f9106e8d9a6b8a519acbf2a984906	b1484511b7b7a3e3b1b8187018c2886ef939aa80e230be0aa3d7b74a202c3376	7.1.3-mprotect-pv3-full-89e613bc0b2d	gcc-15.2.0	dynamic-build/preempt=none
lookup-gate	candidate	199c9959d3a9b53f346c221757fc7ac507fbac50	v7.1.3+shared-pte-hint-diagnostic	5189a4a3547504573b84246b2617e58eb48558f79a316f91f128198f01cfb452	11a3216460b6c5bc5dd8b2a9ed39950120825e1eb41c602c41c75d5c84657175	b1484511b7b7a3e3b1b8187018c2886ef939aa80e230be0aa3d7b74a202c3376	7.1.3-mprotect-hint-one-000000000000	gcc-15.2.0	dynamic-build/preempt=none
